Influent pH,Influent NH4+-N,Influent TN,Influent Flowrate,Wastewater Temperature,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent COD,Effluent TN,Energy Consumption,External Carbon Source
7.53,17.65,19.92,53832.63,19.78,10.53,17.06,34.07,7.70,4.70,18.37,5.63,23.44,4.45,13701.67,2.33
7.04,29.51,33.39,47008.56,29.50,7.73,14.20,46.29,8.17,0.23,39.93,5.94,21.71,4.25,17667.64,4.10
7.00,30.76,33.50,53174.44,29.03,8.37,16.22,41.70,10.93,0.13,37.66,6.90,20.24,4.84,19761.49,3.39
7.05,29.99,33.66,47221.31,29.46,7.79,14.20,46.10,8.23,0.15,39.40,6.01,21.81,4.23,17708.71,4.16
7.02,28.36,30.71,50049.42,29.38,8.00,14.32,52.55,7.06,0.13,38.89,5.60,20.30,4.47,18531.66,3.92
7.30,17.92,21.31,67768.05,29.24,13.31,12.83,37.36,10.13,0.08,30.25,5.86,21.60,4.44,21661.23,2.84
7.34,15.14,18.95,67221.16,29.23,11.78,12.18,33.65,9.20,0.10,28.45,5.59,19.95,4.99,21454.66,2.34
7.34,14.82,18.58,67234.02,29.20,11.63,12.11,33.56,8.89,0.10,28.26,5.53,19.72,5.09,21427.10,2.28
7.30,17.79,21.38,67612.29,29.28,13.19,12.80,36.61,10.44,0.08,30.14,5.91,21.60,4.41,21658.49,2.82
7.35,22.79,25.19,66514.00,28.31,10.33,13.20,44.37,8.35,0.13,27.76,6.45,16.93,5.59,20513.24,2.75
7.22,22.67,25.26,65330.63,29.38,12.45,14.25,43.23,9.81,0.09,34.30,7.40,19.92,4.58,21771.48,3.36
7.29,19.50,22.88,66222.17,29.40,13.00,13.06,37.81,10.76,0.08,31.35,6.74,20.60,4.32,21650.00,2.95
7.25,20.43,21.60,68439.12,28.92,14.40,13.36,46.03,7.10,0.08,32.24,5.89,20.90,4.77,21684.15,3.19
7.36,11.84,14.43,67151.95,28.97,10.48,12.25,31.24,6.01,0.13,25.95,5.05,16.92,5.42,20973.05,2.56
7.33,11.55,12.74,66681.03,28.86,10.41,13.59,27.60,5.39,0.13,24.45,5.28,15.31,4.52,20500.00,3.76
7.34,11.31,12.40,66620.25,28.87,10.52,13.70,28.24,5.54,0.13,24.32,5.26,15.26,4.47,20518.49,3.97
7.35,12.80,13.57,66683.42,28.90,9.80,13.31,31.45,7.12,0.14,22.59,5.66,16.63,4.73,20691.46,2.86
6.86,21.84,25.50,50748.46,28.51,3.04,25.91,54.87,9.01,2.06,30.68,6.55,26.62,4.88,18597.27,3.92
6.82,22.01,26.69,45257.81,28.32,2.40,28.50,56.69,10.05,1.85,28.64,8.36,24.77,4.77,18489.18,3.82
6.85,24.64,26.87,51586.47,28.94,2.50,27.62,63.15,9.42,1.02,35.21,7.89,27.11,4.74,17629.70,3.97
6.86,20.57,24.87,46778.27,28.29,2.17,27.41,58.84,11.11,1.03,31.38,9.14,25.99,5.07,18666.75,3.66
9.22,39.40,41.33,26589.90,16.36,5.11,17.04,63.84,26.16,2.84,41.94,25.14,21.92,4.45,13418.03,14.95
9.22,39.19,41.45,27071.42,16.24,5.18,17.16,63.88,25.99,2.94,41.25,25.11,22.03,4.45,13508.41,15.00
9.23,39.45,41.30,26998.23,16.36,5.19,17.18,63.23,26.11,2.95,41.42,25.16,21.90,4.45,13500.94,15.01
9.23,39.10,41.44,26752.82,16.22,5.08,16.82,63.58,26.09,2.81,41.30,25.10,21.86,4.43,13419.33,14.99
7.25,16.66,19.57,54667.85,19.31,9.33,22.69,27.26,9.33,5.29,17.76,8.58,21.31,5.69,14447.57,1.36
7.53,17.41,19.47,53777.28,19.76,10.56,16.72,34.27,7.62,4.73,18.32,5.46,23.92,4.47,13658.31,2.30
7.59,15.84,18.82,53721.29,19.80,10.58,17.43,32.44,5.93,4.74,16.74,4.33,23.32,5.61,13483.91,2.28
7.58,16.15,18.98,53770.84,19.80,10.58,17.31,32.88,6.29,4.75,17.18,4.59,23.48,5.35,13528.34,2.28
7.29,18.56,21.48,64924.68,28.56,10.36,12.12,30.37,8.58,0.03,23.72,5.53,18.59,4.64,20443.63,2.28
7.29,18.46,21.35,64979.79,28.55,10.38,12.05,30.34,8.49,0.04,23.60,5.47,18.27,4.67,20454.33,2.28
7.30,18.42,21.85,65587.09,28.89,11.22,12.51,31.89,9.82,0.03,26.24,5.87,20.52,4.42,20856.32,2.45
7.30,16.35,18.23,64790.18,28.55,9.61,12.40,30.87,8.43,0.08,23.72,5.70,18.47,5.00,20585.66,2.28
7.33,14.07,14.70,66876.13,28.77,10.03,14.38,33.02,10.21,0.14,22.92,6.55,16.82,4.70,20681.49,2.13
7.32,14.00,14.70,66995.81,28.70,10.46,15.08,32.42,10.97,0.13,23.77,6.80,16.32,4.56,20602.76,2.27
7.25,14.57,16.32,66192.44,28.60,8.94,12.34,25.27,6.02,0.13,24.75,5.66,16.68,4.65,20504.99,1.42
7.30,16.38,18.58,65994.19,28.46,10.56,11.93,30.42,8.13,0.13,22.37,5.15,14.40,4.84,20600.00,2.28
7.17,35.40,39.78,39414.53,26.22,7.43,28.87,50.53,9.91,0.07,40.64,8.34,18.11,4.88,18781.64,3.93
7.16,35.21,40.05,41919.82,25.85,7.80,28.51,47.40,9.21,-0.02,40.57,7.85,17.30,4.60,18967.40,4.15
7.16,34.76,40.18,42566.53,26.44,7.68,28.82,51.70,9.94,0.07,42.18,8.41,17.25,4.87,18974.60,3.88
7.12,35.34,39.94,45344.93,26.41,8.06,26.30,46.06,10.62,0.09,39.72,7.76,18.60,4.75,19244.35,3.79
7.25,15.30,17.60,65870.85,28.40,8.97,12.50,21.71,6.12,0.13,24.40,5.60,17.30,5.76,20749.24,1.37
7.29,14.24,15.50,65384.88,28.54,8.94,12.32,28.67,7.10,0.15,23.90,5.63,17.00,5.12,20649.44,1.91
7.30,14.06,15.06,65004.72,28.51,8.98,12.38,30.54,7.77,0.16,23.46,5.64,17.15,5.36,20723.69,2.18
7.29,16.74,19.25,65775.62,28.42,10.39,11.22,29.36,7.20,0.13,22.30,4.81,14.20,5.08,20589.14,2.18
7.02,26.05,26.78,55384.28,29.12,8.27,14.85,60.31,5.95,0.14,37.55,5.32,18.06,4.82,19891.89,3.56
7.04,29.26,32.35,48297.91,29.45,7.87,14.25,48.66,7.74,0.13,39.31,5.82,21.18,4.33,18044.39,4.03
6.98,30.17,32.34,54803.96,28.95,8.50,16.40,44.20,10.62,0.13,37.24,6.81,19.52,4.98,20237.59,3.27
7.02,25.85,28.08,61197.36,29.26,8.82,16.25,54.14,7.49,0.13,38.60,6.09,20.53,5.27,21216.73,3.92
7.65,24.10,26.02,36560.71,19.64,8.93,19.40,45.44,11.81,1.92,32.84,4.64,24.96,5.25,12977.68,2.56
7.37,24.16,27.35,38005.40,19.56,7.83,19.95,44.13,12.13,0.44,37.43,6.00,25.56,5.41,14676.84,2.61
7.53,25.61,27.04,36955.19,19.63,8.27,20.48,44.88,10.84,0.63,33.74,3.82,24.02,5.11,13190.07,2.31
7.36,24.12,27.38,38060.84,19.56,7.81,19.91,44.14,12.16,0.43,37.53,6.09,25.59,5.43,14758.66,2.62
7.32,25.83,27.90,66413.90,28.51,8.27,18.56,40.06,9.04,0.13,33.72,8.01,18.21,4.89,21740.84,2.22
7.37,27.04,30.15,65325.40,28.15,6.62,18.82,51.39,10.37,0.13,39.15,8.22,20.66,5.56,21789.92,3.61
7.21,26.95,29.07,61712.96,28.58,8.19,17.57,44.16,10.93,0.13,35.36,7.44,17.87,4.92,21153.33,2.90
7.32,25.31,27.37,65198.56,28.40,8.16,18.00,43.33,9.90,0.13,35.01,7.70,17.21,5.08,21733.90,2.81
6.82,23.71,26.67,48947.69,28.95,2.11,30.37,63.63,9.49,2.08,33.08,7.34,25.30,5.15,16507.46,4.11
6.86,24.07,25.91,54356.93,29.08,2.80,26.98,61.99,8.70,1.66,35.70,6.32,27.63,5.01,17206.24,4.11
6.85,25.12,26.51,54291.63,29.21,2.57,27.66,65.02,8.93,1.21,37.21,6.99,27.73,4.92,16924.15,4.11
6.87,20.48,23.16,50586.93,28.80,1.63,28.67,66.71,11.61,0.75,37.05,8.85,27.08,5.75,16883.67,3.78
7.64,13.20,17.23,44801.57,24.37,8.10,32.49,49.98,9.69,7.04,26.70,7.83,18.51,4.53,16390.99,4.01
7.44,15.04,20.63,45949.20,24.10,6.70,32.56,42.15,9.95,7.06,24.13,6.41,17.31,4.00,16283.78,4.11
7.71,15.21,18.53,44463.09,24.18,8.71,32.54,58.02,7.06,7.01,28.40,7.57,16.64,5.14,16454.87,3.73
7.68,13.23,17.44,44924.68,24.12,8.39,32.28,53.59,9.68,7.03,27.56,8.56,17.22,4.93,16352.29,4.02
7.32,25.29,27.57,66913.79,28.49,9.14,16.91,38.58,8.06,0.13,31.22,7.65,18.44,5.17,21363.53,2.15
7.20,28.08,30.38,63199.88,28.70,8.51,18.29,36.97,9.13,0.13,34.46,7.96,19.46,4.95,21367.18,2.26
7.33,25.44,27.45,66098.81,28.47,8.18,18.37,42.15,9.54,0.13,33.95,7.86,17.73,4.88,21692.81,2.40
7.34,23.83,26.18,66688.26,28.38,9.82,14.73,42.00,8.22,0.13,29.15,6.94,17.53,5.42,20856.09,2.50
7.56,16.70,17.99,20859.59,19.21,7.89,26.31,45.73,5.83,5.84,29.81,6.52,32.57,5.27,6399.69,0.72
7.53,20.75,22.24,22540.82,19.02,7.25,26.62,40.68,6.15,5.98,30.03,6.43,32.23,5.57,6731.54,0.75
7.60,13.02,13.94,19814.73,19.54,8.56,25.95,50.75,5.53,5.78,29.58,6.60,32.96,4.96,6038.33,0.70
7.62,14.71,18.11,12119.70,18.05,8.10,24.57,47.19,6.54,5.51,27.14,8.35,35.12,6.06,4555.92,0.78
7.31,17.44,21.58,67183.99,29.39,12.87,12.71,34.56,11.29,0.08,29.84,6.05,21.60,4.30,21650.95,2.75
7.25,20.21,21.22,68891.72,28.86,14.57,13.34,46.58,6.71,0.08,32.11,5.67,21.11,4.83,21688.84,3.19
7.26,19.26,20.55,69425.64,28.83,14.55,13.18,45.29,6.84,0.08,31.42,5.31,21.60,4.84,21690.42,3.10
7.28,20.63,21.77,68938.38,28.58,13.56,13.27,46.85,6.53,0.09,30.57,5.52,20.19,5.16,21340.13,3.06
7.31,14.01,14.89,64919.98,28.51,8.99,12.41,31.29,8.03,0.16,23.24,5.66,17.22,5.43,20752.86,2.27
7.34,14.15,14.70,66712.61,28.85,9.44,13.44,33.84,9.18,0.15,21.76,6.21,17.51,4.91,20789.07,1.93
7.34,14.13,14.77,66027.03,28.76,9.07,12.73,33.25,8.39,0.15,21.85,5.89,17.66,5.16,20816.12,1.98
7.34,14.17,14.70,66686.00,28.87,9.35,13.28,33.97,9.01,0.15,21.57,6.16,17.62,4.94,20806.58,1.90
7.21,26.93,29.04,61745.17,28.58,8.18,17.57,44.18,10.93,0.13,35.36,7.44,17.86,4.92,21157.14,2.90
7.03,26.47,29.72,64354.19,29.24,9.09,17.39,47.30,9.40,0.13,38.78,6.87,21.81,5.51,21986.71,3.96
7.12,28.53,30.80,59058.52,28.70,8.32,17.27,42.73,11.23,0.13,36.04,7.33,18.63,4.96,20839.42,3.01
7.01,30.54,33.00,55684.22,28.86,8.50,16.89,40.91,11.61,0.13,36.90,7.20,19.58,5.01,20440.38,3.16
7.41,33.25,34.77,33823.41,20.03,6.99,24.26,33.55,21.71,6.79,26.48,17.13,26.00,5.51,14133.43,2.68
7.36,37.40,40.76,25392.78,17.60,7.83,26.01,34.94,21.05,4.90,23.41,16.12,21.17,5.08,11435.98,2.28
7.36,37.27,41.01,24874.38,17.46,7.96,26.01,34.59,20.90,4.84,23.23,16.09,21.05,5.08,11432.44,2.26
7.35,37.33,40.82,25265.95,17.48,7.86,26.09,34.18,21.06,4.87,23.61,16.05,20.95,5.07,11563.30,2.26
7.30,15.05,16.55,65171.13,28.46,9.55,11.94,30.74,7.79,0.15,22.84,5.32,16.04,5.33,20697.48,2.28
7.29,16.95,19.53,65738.79,28.40,10.54,11.12,29.80,7.35,0.13,22.06,4.73,13.96,5.12,20597.91,2.26
7.26,15.64,18.00,65841.91,28.40,9.29,12.22,23.35,6.37,0.13,23.92,5.42,16.62,5.63,20719.91,1.55
7.29,16.95,19.54,65738.48,28.40,10.55,11.12,29.80,7.35,0.13,22.06,4.73,13.96,5.12,20597.98,2.26
7.14,27.23,28.20,45503.87,18.55,3.94,14.75,42.30,10.41,2.28,27.98,10.18,26.43,5.14,15769.82,1.92
7.12,27.25,27.93,45843.30,18.65,3.80,14.72,42.70,10.51,2.25,28.24,10.23,26.36,5.15,15977.21,1.92
7.09,28.30,30.00,45496.18,18.65,3.76,13.88,31.07,13.76,1.87,25.11,11.02,26.61,5.54,16164.70,2.00
7.14,26.49,28.84,46060.19,18.76,4.09,15.11,47.73,10.20,2.73,29.17,8.68,24.11,5.30,15958.25,1.94
7.33,17.56,21.09,47505.71,19.36,9.36,24.89,27.77,12.18,4.63,18.57,10.49,17.85,5.65,14654.60,2.17
7.58,21.62,22.83,42978.61,19.68,9.99,22.20,34.72,13.27,4.12,16.33,9.89,15.64,5.74,14231.16,2.50
7.50,19.48,22.75,44797.18,19.60,9.98,22.65,31.00,12.44,3.97,18.32,9.74,16.75,4.86,14335.67,3.06
7.58,21.49,22.81,42915.40,19.67,9.99,22.28,34.58,13.29,4.11,16.46,9.92,15.66,5.72,14242.66,2.53
6.85,25.63,26.80,54259.57,29.28,2.46,27.99,66.51,9.05,0.99,37.95,7.32,27.78,4.88,16785.67,4.11
6.88,20.00,23.06,51661.64,28.69,2.24,27.30,61.34,10.53,1.60,34.63,7.28,27.08,5.67,17353.12,3.87
6.87,21.80,24.62,54390.26,28.80,3.27,25.58,55.47,8.20,2.63,32.37,4.90,27.35,5.19,17802.82,4.11
6.85,21.87,26.21,47807.66,28.29,2.85,26.23,54.45,9.65,1.62,29.33,7.87,26.01,4.64,19206.73,3.78
7.70,14.38,18.07,44657.49,24.16,8.58,32.43,56.15,8.16,7.02,28.04,7.99,16.88,5.05,16411.67,3.85
7.58,18.51,21.51,44540.64,24.30,8.51,32.40,56.59,7.92,6.95,25.99,7.36,18.46,5.80,16610.44,3.42
7.59,20.76,21.17,44868.31,25.61,8.47,33.50,54.87,6.01,7.02,28.98,5.55,18.49,5.67,16339.05,3.66
7.56,18.97,21.96,44572.19,24.32,8.47,32.37,56.18,8.17,6.94,25.56,7.36,18.78,5.90,16632.02,3.38
7.04,30.95,34.45,48427.77,29.31,7.90,15.15,45.19,9.37,0.13,39.02,6.22,21.92,4.40,18125.25,3.88
6.97,36.10,39.19,55990.12,28.38,8.58,19.81,41.48,15.05,0.12,36.08,7.49,22.44,5.22,20214.13,2.70
6.98,31.99,34.59,54955.17,28.80,8.53,17.38,40.73,12.34,0.13,36.93,7.22,20.32,5.06,20320.85,3.10
6.98,35.76,38.77,55110.43,28.33,8.56,19.94,42.12,15.05,0.09,36.20,7.43,22.47,5.22,20097.48,2.73
7.04,29.96,34.39,20021.67,18.77,9.63,26.26,38.61,6.14,6.55,33.64,6.14,39.95,5.23,5895.33,0.70
7.56,16.77,20.78,11284.83,17.80,8.17,24.42,45.48,6.73,5.57,27.25,8.51,36.15,6.23,4344.70,0.80
7.03,29.91,34.35,20633.44,18.72,9.64,26.20,38.30,6.21,6.66,33.87,6.02,40.00,5.24,5939.49,0.68
7.05,30.48,34.67,20252.39,18.79,9.65,26.27,38.13,6.14,6.56,34.07,5.99,40.19,5.25,5928.68,0.69
7.30,11.03,17.60,65971.31,28.88,10.61,10.82,24.72,5.33,0.13,23.74,5.36,15.09,5.52,20768.43,2.10
7.21,12.53,18.44,67048.43,29.00,9.61,11.91,19.77,7.54,0.14,19.79,5.49,13.86,5.46,20532.91,1.68
7.29,10.76,18.07,65661.02,28.85,10.66,10.67,22.89,5.10,0.13,23.07,5.45,14.47,5.43,20670.59,2.17
7.28,15.31,19.42,65575.87,28.50,10.62,10.92,27.32,6.71,0.13,21.97,4.93,13.77,5.17,20574.73,2.28
7.28,37.45,44.55,32133.28,19.50,7.30,18.97,66.89,10.24,0.08,41.06,6.27,28.00,5.44,18134.32,3.04
7.27,34.11,40.80,32371.01,18.84,7.73,17.78,62.40,9.26,0.08,41.63,5.75,28.74,5.40,18013.75,3.32
7.27,35.15,42.62,32178.50,18.87,7.22,19.11,64.12,9.78,0.08,41.86,6.02,27.66,5.39,17984.32,3.15
7.30,36.14,41.14,31217.52,18.29,8.36,19.27,66.25,8.54,0.08,43.01,6.96,30.53,6.25,17697.34,2.40
6.98,26.78,31.61,44671.78,28.52,2.20,29.89,61.38,9.56,2.70,28.70,8.40,23.97,5.86,17221.20,3.84
6.83,24.89,26.80,51939.76,29.15,2.29,29.09,65.53,9.26,1.43,35.97,7.39,26.71,4.99,16638.71,4.11
6.85,23.56,28.02,44993.79,28.65,1.98,31.37,61.25,9.72,2.86,29.19,7.61,23.64,5.50,16601.93,4.03
6.83,21.94,26.76,45302.03,28.19,2.57,27.29,55.12,10.14,1.48,28.37,8.73,25.21,4.57,19232.91,3.72
7.36,23.22,29.74,43364.51,28.54,2.55,32.31,58.14,10.18,2.66,28.41,8.98,22.52,5.40,16130.61,4.12
7.36,22.99,29.70,43876.65,28.51,2.54,32.23,58.27,10.09,2.67,28.85,8.94,22.63,5.40,16163.07,4.12
7.36,22.93,30.06,43338.92,28.32,2.59,32.16,58.72,10.04,2.67,28.76,8.92,22.41,5.40,16304.85,4.06
7.35,22.76,29.42,43360.21,28.51,2.54,32.33,58.36,10.04,2.68,28.60,8.77,22.69,5.40,16108.55,4.11
7.27,14.83,16.63,65511.85,28.44,8.98,12.46,25.10,6.80,0.14,24.01,5.62,17.26,5.60,20750.00,1.70
7.28,14.26,15.54,65418.96,28.54,8.93,12.31,28.50,7.05,0.15,23.94,5.63,16.99,5.10,20642.78,1.89
7.34,14.17,14.73,66372.26,28.84,9.09,12.83,33.86,8.51,0.15,21.41,5.97,17.80,5.08,20835.84,1.89
7.32,14.05,14.85,65298.50,28.60,9.02,12.52,31.96,8.15,0.16,22.76,5.74,17.37,5.34,20774.49,2.17
7.67,23.05,25.88,37017.03,19.56,9.25,18.19,46.41,12.09,2.68,31.77,5.80,25.27,5.55,13582.84,2.61
7.68,23.17,25.86,36609.31,19.78,9.25,18.35,46.98,12.20,2.71,31.80,5.75,25.23,5.53,13653.69,2.61
7.68,23.43,25.81,36810.84,19.44,9.22,18.58,45.78,11.90,2.76,31.91,5.83,25.07,5.50,13403.42,2.60
7.67,23.11,25.73,36831.64,19.53,9.19,18.39,46.57,12.05,2.61,31.61,5.72,25.11,5.53,13521.88,2.54
7.25,34.01,40.11,32143.69,18.62,8.43,16.10,60.55,7.04,0.08,40.89,5.42,29.18,5.55,18010.82,2.94
7.25,34.48,40.93,32030.47,18.61,8.28,16.44,61.00,6.92,0.08,40.83,5.47,28.64,5.55,18003.38,2.80
7.29,35.58,40.14,31309.52,18.27,8.65,18.55,65.35,8.24,0.08,42.90,6.83,31.15,6.26,17709.61,2.48
7.26,32.58,37.66,32482.63,18.67,8.88,15.08,59.21,7.42,0.08,41.06,5.28,30.78,5.55,18033.09,3.34
7.25,33.36,38.99,32298.31,18.64,8.63,15.63,59.94,7.21,0.08,40.97,5.36,29.91,5.55,18020.98,3.12
7.26,36.43,42.92,31969.86,19.09,8.06,17.09,63.87,7.83,0.08,40.52,5.81,28.54,5.57,18093.70,2.74
7.29,35.91,40.80,31517.05,18.84,8.21,18.06,67.63,7.78,0.08,42.01,5.94,27.39,5.68,18025.13,2.97
7.26,32.12,36.87,32591.73,18.68,9.02,14.75,58.78,7.54,0.08,41.12,5.24,31.30,5.55,18040.26,3.47
7.29,13.94,15.56,65503.79,28.62,9.00,12.46,28.93,8.21,0.16,22.38,5.61,16.58,5.46,20710.14,2.10
7.27,13.89,16.04,65968.63,28.71,9.00,12.50,27.26,8.36,0.15,21.71,5.58,16.13,5.48,20680.90,1.97
7.34,14.15,15.02,66750.89,28.92,9.10,12.88,32.97,8.63,0.15,20.88,5.97,17.55,5.07,20822.54,1.78
7.21,13.99,17.61,67432.45,28.94,8.97,12.54,21.46,7.95,0.14,20.68,5.49,14.95,5.26,20533.75,1.37
7.10,26.11,29.58,65991.92,29.07,8.58,17.83,49.65,9.20,0.13,39.61,7.13,22.33,5.67,22227.71,4.11
7.13,27.47,30.55,64593.17,28.74,9.10,17.81,35.79,7.55,0.13,38.60,7.72,20.46,5.99,22393.26,3.54
7.21,26.33,28.93,66806.29,28.83,8.72,18.50,39.74,8.26,0.13,35.17,7.82,20.27,5.15,22000.17,2.58
7.28,26.60,28.91,67042.33,28.66,8.55,18.86,36.50,8.00,0.13,33.73,8.19,19.56,4.98,21890.67,2.03
7.33,22.75,24.70,66218.78,28.66,9.78,13.11,37.10,8.94,0.13,25.67,7.01,15.19,5.65,20545.04,2.33
7.34,21.87,24.42,66083.82,28.37,10.30,13.00,41.01,8.47,0.10,26.85,6.27,17.63,5.33,20475.62,2.63
7.33,22.75,24.67,66197.95,28.68,9.75,13.10,36.62,8.98,0.13,25.54,7.05,15.07,5.65,20548.05,2.30
7.35,22.76,25.16,66455.12,28.36,10.46,13.22,44.27,8.42,0.13,28.00,6.50,17.03,5.53,20561.95,2.76
7.09,21.93,23.75,22249.79,29.52,8.33,20.07,43.03,11.67,0.15,35.32,7.60,19.06,5.60,17402.66,6.38
7.11,22.29,23.94,22335.40,29.58,8.30,19.89,42.95,11.60,0.09,35.44,7.74,19.17,5.62,17483.06,6.34
7.10,22.01,23.97,22216.76,29.52,8.26,20.42,42.63,11.75,0.11,35.21,7.69,18.99,5.61,17467.15,6.38
7.11,22.01,23.59,22772.40,29.57,8.24,19.85,43.22,11.72,0.14,35.13,7.56,19.25,5.62,17542.85,6.32
7.35,35.13,35.93,30127.53,19.74,6.46,23.60,32.44,20.23,6.34,24.72,14.32,25.78,6.04,13211.66,2.22
7.32,36.85,37.53,26584.74,19.18,6.29,23.48,31.88,19.26,5.77,23.21,12.51,24.90,6.29,12248.39,1.88
7.42,32.26,32.97,36702.90,20.56,6.72,23.80,32.69,21.81,7.18,27.24,17.40,27.27,5.63,14893.13,2.81
7.32,36.66,37.36,26961.35,19.24,6.31,23.49,31.94,19.36,5.83,23.37,12.70,24.99,6.26,12350.79,1.91
7.30,36.73,41.44,31124.74,18.39,8.48,19.26,67.05,8.53,0.08,42.93,7.10,30.85,6.33,17705.97,2.31
7.31,41.03,46.51,31752.26,20.35,7.72,18.87,72.90,10.51,0.08,40.37,6.76,28.45,5.68,18325.33,2.84
7.30,37.98,43.02,31314.58,18.93,8.27,19.13,68.34,9.10,0.08,42.16,7.04,30.42,6.18,17867.57,2.41
7.30,41.48,47.42,31845.78,20.43,7.69,18.76,71.96,10.71,0.08,39.99,6.89,29.21,5.73,18319.79,2.69
7.34,19.35,22.74,66430.65,28.18,9.45,15.14,67.04,7.17,0.23,38.54,5.60,36.56,5.61,21982.49,3.67
7.33,19.18,22.75,66050.66,28.19,9.49,15.01,66.85,7.20,0.19,38.49,5.50,36.49,5.64,21976.81,3.57
7.32,18.95,22.94,66567.35,27.99,9.40,15.12,67.30,7.23,0.14,38.48,5.62,36.61,5.64,22110.86,3.68
7.33,19.29,22.80,66126.53,28.24,9.44,15.21,67.09,7.21,0.14,38.10,5.64,36.82,5.66,21924.13,3.68
7.14,25.16,30.21,46253.12,18.89,4.59,15.77,59.52,9.37,3.80,31.59,5.45,18.66,5.69,16244.12,1.94
7.12,25.01,30.58,46423.98,18.79,4.60,15.82,59.22,9.48,3.85,31.61,5.47,18.73,5.66,16104.03,1.92
7.13,25.21,30.55,46740.41,18.87,4.59,15.72,58.65,9.57,3.71,31.46,5.50,18.79,5.66,16290.04,1.93
7.14,26.40,28.94,46097.10,18.77,4.12,15.15,48.43,10.15,2.80,29.32,8.48,23.78,5.32,15971.67,1.94
7.17,33.62,40.15,43422.28,28.23,6.88,30.39,64.97,12.06,0.08,46.49,10.21,16.59,5.70,18947.02,3.17
7.16,34.92,40.19,42458.22,26.13,7.80,28.57,49.65,9.62,0.07,41.52,8.15,17.32,4.74,18962.84,3.99
7.17,34.29,39.70,40088.18,28.30,6.66,30.56,64.56,12.10,0.07,45.11,10.14,17.65,5.76,18857.90,3.19
7.16,34.77,40.18,42558.67,26.42,7.69,28.80,51.55,9.92,0.07,42.13,8.39,17.26,4.86,18973.74,3.89
7.29,17.96,20.36,65748.32,28.52,10.34,11.42,29.61,7.77,0.13,22.20,5.21,13.77,5.42,20600.00,2.20
7.29,20.37,22.06,65848.74,28.88,9.09,12.84,26.16,8.57,0.13,23.58,7.04,14.42,5.72,20647.14,1.68
7.22,16.00,19.71,67483.84,29.10,9.06,12.78,21.95,9.18,0.14,19.85,6.02,13.84,5.59,20562.80,1.49
7.31,22.24,23.84,65697.10,29.04,9.29,12.93,28.49,9.59,0.11,23.32,7.46,13.95,5.55,20575.08,1.88
7.27,29.50,30.64,66025.22,29.17,8.68,17.28,22.95,12.09,0.14,27.99,10.09,16.80,5.70,20111.70,2.29
7.29,28.29,29.66,66116.20,29.02,8.97,16.54,26.81,11.41,0.14,27.94,9.43,16.82,5.68,20181.69,2.37
7.31,25.84,27.67,66301.01,28.70,9.56,15.05,34.67,10.03,0.13,27.83,8.10,16.86,5.64,20323.85,2.54
7.29,27.51,29.41,66827.99,28.76,8.53,18.57,31.79,9.07,0.13,31.80,8.83,18.63,5.13,21378.11,1.94
